epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1114.42,0.96193,6.01609,1.22776,0.00553,0.66909,0.01208,0.01022,0.94032,3.75258,1.20723,0.00333172,0.00333172,0.00333172
2,2233.84,1.02527,5.3299,1.24851,0.00809,0.62211,0.0182,0.01521,1.06083,3.68091,1.26404,0.00653308,0.00653308,0.00653308
3,3377.33,1.12429,4.70753,1.31226,0.24344,0.15104,0.02564,0.02107,1.04523,3.57263,1.2805,0.00960245,0.00960245,0.00960245
4,4506.91,1.12073,3.81247,1.30982,0.4309,0.07494,0.03866,0.03264,0.95109,3.33234,1.21743,0.009406,0.009406,0.009406
5,5631.57,1.00181,3.42003,1.23114,0.28325,0.12719,0.05664,0.04916,0.87479,3.16629,1.17798,0.009208,0.009208,0.009208
6,6767.02,0.92281,3.21037,1.17845,0.27343,0.1719,0.0793,0.06999,0.82118,3.037,1.13154,0.00901,0.00901,0.00901
7,7898.05,0.8649,3.05049,1.14065,0.23244,0.21747,0.10807,0.09736,0.79178,2.90651,1.11469,0.008812,0.008812,0.008812
8,9019.13,0.8178,2.9103,1.1099,0.22928,0.23944,0.13547,0.12326,0.76762,2.85203,1.10336,0.008614,0.008614,0.008614
9,10139.8,0.78176,2.79267,1.08653,0.25066,0.2455,0.15981,0.1465,0.74825,2.75941,1.09335,0.008416,0.008416,0.008416
10,11278.3,0.74693,2.67926,1.06382,0.26012,0.28518,0.19344,0.17804,0.72187,2.64552,1.07515,0.008218,0.008218,0.008218
11,12404.3,0.71279,2.57325,1.04055,0.26989,0.29784,0.21028,0.19374,0.71658,2.61778,1.07524,0.00802,0.00802,0.00802
12,13530.2,0.68834,2.46849,1.02452,0.29946,0.31925,0.2354,0.218,0.70366,2.53593,1.06468,0.007822,0.007822,0.007822
13,14665.5,0.66048,2.37195,1.00671,0.30002,0.32578,0.25212,0.23323,0.69651,2.49429,1.06176,0.007624,0.007624,0.007624
14,15785.1,0.63482,2.28558,0.99025,0.2905,0.34198,0.26474,0.24639,0.69227,2.47765,1.06059,0.007426,0.007426,0.007426
15,16906.4,0.61663,2.19459,0.97727,0.2975,0.3487,0.28392,0.26399,0.68987,2.4456,1.06308,0.007228,0.007228,0.007228
16,18030.9,0.59625,2.10632,0.96569,0.3132,0.34923,0.28984,0.2694,0.69096,2.45649,1.06691,0.00703,0.00703,0.00703
17,19145.8,0.57808,2.02582,0.95366,0.32123,0.35465,0.29589,0.27623,0.6872,2.45743,1.06561,0.006832,0.006832,0.006832
18,20265.5,0.56186,1.94303,0.94485,0.33403,0.34204,0.30374,0.28296,0.68521,2.47263,1.06665,0.006634,0.006634,0.006634
