Model,mAP@0.5,mAP@0.5:0.95,Precision,Recall
Baseline,0.3638472801854366,0.3387426573717423,0.36152316938145534,0.3949486902919748
Augmented,0.5151479967373692,0.4864293811399382,0.5012527107080731,0.5181415074082278
