epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,668.092,0.87844,5.58033,1.17655,0.00597,0.76345,0.01671,0.01398,0.85567,3.5074,1.15242,0.00333172,0.00333172,0.00333172
2,1329.58,0.898,3.67727,1.15739,0.37766,0.09993,0.03555,0.02974,0.88664,3.33684,1.17211,0.00653308,0.00653308,0.00653308
3,1984.64,1.01938,3.48412,1.23649,0.42393,0.06916,0.04354,0.03602,0.99213,3.34071,1.2475,0.00960245,0.00960245,0.00960245
4,2635.78,1.04988,3.38743,1.26189,0.39118,0.14578,0.06955,0.06067,0.87875,3.08366,1.17883,0.009406,0.009406,0.009406
5,3288.67,0.92369,3.10772,1.18192,0.29877,0.21372,0.1001,0.08868,0.82137,2.87591,1.13284,0.009208,0.009208,0.009208
